Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID
139,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,11,40,41.7,,3,,8
140,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,12,40,41.7,,3,,8
141,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,13,40,41.7,,3,,8
142,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,14,40,41.7,,3,,8
143,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,15,40,41.7,,3,,8
144,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,16,40,41.7,,3,,8
145,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,17,40,41.7,,3,,8
146,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,18,40,41.7,,3,,8
147,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,19,40,41.7,,3,,8
148,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,20,40,41.7,,3,,8
149,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,21,40,41.7,,3,,8
150,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,22,40,41.7,,3,,8
151,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,23,40,41.7,,3,,8
152,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,24,40,41.7,,3,,8
153,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,25,40,41.7,,3,,8
154,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,26,40,41.7,,3,,8
155,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,27,40,41.7,,3,,8
156,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,28,40,41.7,,3,,8
157,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,29,40,41.7,,3,,8
158,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,30,40,41.7,,3,,8
159,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,31,40,41.7,,3,,8
160,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,32,40,41.7,,3,,8
161,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,33,40,41.7,,3,,8
162,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,34,40,41.7,,3,,8
163,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,35,40,41.7,,3,,8
164,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,36,40,41.7,,3,,8
165,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,37,40,41.7,,3,,8
166,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,38,40,41.7,,3,,8
167,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,39,40,41.7,,3,,8
168,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,40,40,41.7,,3,,8
169,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,41,40,41.7,,3,,8
170,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,42,40,41.7,,3,,8
171,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,43,40,41.7,,3,,8
172,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,44,40,41.7,,3,,8
173,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,45,40,41.7,,3,,8
174,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,46,40,41.7,,3,,8
175,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,47,40,41.7,,3,,8
176,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,48,40,41.7,,3,,8
177,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,49,40,41.7,,3,,8
178,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,50,40,41.7,,3,,8
179,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,51,40,41.7,,3,,8
180,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,52,40,41.7,,3,,8
181,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,53,40,41.7,,3,,8
182,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,54,40,41.7,,3,,8
183,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,55,40,41.7,,3,,8
184,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,56,40,41.7,,3,,8
185,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,57,40,41.7,,3,,8
186,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,58,40,41.7,,3,,8
187,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,59,40,41.7,,3,,8
188,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,60,40,41.7,,3,,8
189,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,61,40,41.7,,3,,8
190,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,62,40,41.7,,3,,8
191,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,63,40,41.7,,3,,8
192,1969,1969-05-10T00:00:00,1969-05-27T00:00:00,64,40,41.7,,3,,8
193,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,1,158,12.5,,4,,9
194,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,2,158,12.5,,4,,9
195,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,3,158,12.5,,4,,9
196,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,4,158,12.5,,4,,9
197,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,5,158,12.5,,4,,9
198,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,6,158,12.5,,4,,9
199,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,7,158,12.5,,4,,9
200,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,8,158,12.5,,4,,9
201,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,9,158,12.5,,4,,9
202,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,10,158,12.5,,4,,9
203,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,11,158,12.5,,4,,9
204,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,12,158,12.5,,4,,9
205,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,13,158,12.5,,4,,9
206,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,14,158,12.5,,4,,9
207,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,15,158,12.5,,4,,9
208,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,16,158,12.5,,4,,9
209,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,17,158,12.5,,4,,9
210,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,18,158,12.5,,4,,9
211,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,19,158,12.5,,4,,9
212,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,20,158,12.5,,4,,9
213,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,21,158,12.5,,4,,9
214,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,22,158,12.5,,4,,9
215,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,23,158,12.5,,4,,9
216,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,24,158,12.5,,4,,9
217,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,25,158,12.5,,4,,9
218,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,26,158,12.5,,4,,9
219,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,27,158,12.5,,4,,9
220,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,28,158,12.5,,4,,9
221,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,29,158,12.5,,4,,9
