Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID,Ganzflaechig,Technik_ID
157,1969,1969-10-23T00:00:00,25,3,1,20
158,1969,1969-10-23T00:00:00,21,3,1,20
159,1969,1969-10-23T00:00:00,23,3,1,20
160,1969,1969-10-23T00:00:00,27,3,1,20
161,1969,1969-10-23T00:00:00,45,3,1,20
162,1969,1969-10-23T00:00:00,39,3,1,20
163,1969,1969-10-23T00:00:00,37,3,1,20
164,1969,1969-10-23T00:00:00,48,3,1,20
165,1969,1969-10-23T00:00:00,43,3,1,20
166,1969,1969-10-23T00:00:00,41,3,1,20
167,1969,1969-10-23T00:00:00,47,3,1,20
168,1969,1969-10-23T00:00:00,46,3,1,20
169,1969,1969-10-23T00:00:00,33,3,1,20
170,1969,1969-10-23T00:00:00,34,3,1,20
171,1969,1969-10-23T00:00:00,35,3,1,20
172,1969,1969-10-23T00:00:00,36,3,1,20
173,1969,1969-10-23T00:00:00,40,3,1,20
174,1969,1969-10-23T00:00:00,42,3,1,20
175,1969,1969-10-23T00:00:00,44,3,1,20
176,1969,1969-10-23T00:00:00,38,3,1,20
177,1969,1969-10-23T00:00:00,57,3,1,20
178,1969,1969-10-23T00:00:00,63,3,1,20
179,1969,1969-10-23T00:00:00,60,3,1,20
180,1969,1969-10-23T00:00:00,53,3,1,20
181,1969,1969-10-23T00:00:00,61,3,1,20
182,1969,1969-10-23T00:00:00,64,3,1,20
183,1969,1969-10-23T00:00:00,59,3,1,20
184,1969,1969-10-23T00:00:00,58,3,1,20
185,1969,1969-10-23T00:00:00,54,3,1,20
186,1969,1969-10-23T00:00:00,56,3,1,20
187,1969,1969-10-23T00:00:00,62,3,1,20
188,1969,1969-10-23T00:00:00,55,3,1,20
189,1969,1969-10-23T00:00:00,49,3,1,20
190,1969,1969-10-23T00:00:00,50,3,1,20
191,1969,1969-10-23T00:00:00,51,3,1,20
192,1969,1969-10-23T00:00:00,52,3,1,20
193,1969,1969-10-30T00:00:00,1,3,1,18
194,1969,1969-10-30T00:00:00,2,3,1,18
195,1969,1969-10-30T00:00:00,3,3,1,18
196,1969,1969-10-30T00:00:00,4,3,1,18
197,1969,1969-10-30T00:00:00,5,3,1,18
198,1969,1969-10-30T00:00:00,6,3,1,18
199,1969,1969-10-30T00:00:00,7,3,1,18
200,1969,1969-10-30T00:00:00,8,3,1,18
201,1969,1969-10-30T00:00:00,9,3,1,18
202,1969,1969-10-30T00:00:00,10,3,1,18
203,1969,1969-10-30T00:00:00,11,3,1,18
204,1969,1969-10-30T00:00:00,12,3,1,18
205,1969,1969-10-30T00:00:00,13,3,1,18
206,1969,1969-10-30T00:00:00,14,3,1,18
207,1969,1969-10-30T00:00:00,15,3,1,18
208,1969,1969-10-30T00:00:00,16,3,1,18
209,1969,1969-10-30T00:00:00,22,3,1,18
210,1969,1969-10-30T00:00:00,28,3,1,18
211,1969,1969-10-30T00:00:00,30,3,1,18
212,1969,1969-10-30T00:00:00,26,3,1,18
213,1969,1969-10-30T00:00:00,17,3,1,18
214,1969,1969-10-30T00:00:00,18,3,1,18
215,1969,1969-10-30T00:00:00,19,3,1,18
216,1969,1969-10-30T00:00:00,20,3,1,18
217,1969,1969-10-30T00:00:00,29,3,1,18
218,1969,1969-10-30T00:00:00,31,3,1,18
219,1969,1969-10-30T00:00:00,24,3,1,18
220,1969,1969-10-30T00:00:00,32,3,1,18
221,1969,1969-10-30T00:00:00,25,3,1,18
222,1969,1969-10-30T00:00:00,21,3,1,18
223,1969,1969-10-30T00:00:00,23,3,1,18
224,1969,1969-10-30T00:00:00,27,3,1,18
225,1969,1969-10-30T00:00:00,45,3,1,18
226,1969,1969-10-30T00:00:00,39,3,1,18
227,1969,1969-10-30T00:00:00,37,3,1,18
